News Pull,2022-10-04 13:25:46.000,2022-10-04 13:25:54.000
NewsDriver.ps1,2022-10-04 14:00:07.000,2022-10-04 14:00:18.000
News Pull,2022-10-04 14:00:07.000,2022-10-04 14:00:18.000
NewsDriver.ps1,2022-10-04 15:00:16.000,2022-10-04 15:00:27.000
News Pull,2022-10-04 15:00:18.000,2022-10-04 15:00:27.000
NewsDriver.ps1,2022-10-04 16:00:07.000,2022-10-04 16:00:15.000
News Pull,2022-10-04 16:00:07.000,2022-10-04 16:00:15.000
NewsDriver.ps1,2022-10-04 17:00:04.000,2022-10-04 17:00:13.000
News Pull,2022-10-04 17:00:04.000,2022-10-04 17:00:13.000
NewsDriver.ps1,2022-10-04 18:00:04.000,2022-10-04 18:00:15.000
News Pull,2022-10-04 18:00:05.000,2022-10-04 18:00:15.000
NewsDriver.ps1,2022-10-04 19:00:16.000,2022-10-04 19:00:25.000
News Pull,2022-10-04 19:00:17.000,2022-10-04 19:00:25.000
NewsDriver.ps1,2022-10-04 20:00:19.000,2022-10-04 20:00:29.000
News Pull,2022-10-04 20:00:20.000,2022-10-04 20:00:29.000
RubyDriver.ps1,2022-10-04 20:30:25.000,2022-10-04 20:36:05.000
Full Pull,2022-10-04 20:30:29.000,2022-10-04 20:36:05.000
GetPersonnelPics.ps1,2022-10-04 21:30:15.000,2022-10-04 21:30:20.000
\Scheduled\Foundation\FoundationSync.ps1,2022-10-04 23:00:09.000,2022-10-05 00:10:47.000
NewsDriver.ps1,2022-10-05 06:00:31.000,2022-10-05 06:00:52.000
News Pull,2022-10-05 06:00:33.000,2022-10-05 06:00:52.000
NewsDriver.ps1,2022-10-05 07:05:14.000,2022-10-05 07:05:23.000
News Pull,2022-10-05 07:05:15.000,2022-10-05 07:05:23.000
NewsDriver.ps1,2022-10-05 08:00:25.000,2022-10-05 08:00:37.000
News Pull,2022-10-05 08:00:25.000,2022-10-05 08:00:37.000
NewsDriver.ps1,2022-10-05 09:05:11.000,2022-10-05 09:05:21.000
News Pull,2022-10-05 09:05:12.000,2022-10-05 09:05:21.000
NewsDriver.ps1,2022-10-05 10:00:29.000,2022-10-05 10:00:42.000
News Pull,2022-10-05 10:00:30.000,2022-10-05 10:00:42.000
NewsDriver.ps1,2022-10-05 11:00:03.000,2022-10-05 11:00:25.000
News Pull,2022-10-05 11:00:04.000,2022-10-05 11:00:25.000
NewsDriver.ps1,2022-10-05 12:00:24.000,2022-10-05 12:00:40.000
News Pull,2022-10-05 12:00:26.000,2022-10-05 12:00:40.000
NewsDriver.ps1,2022-10-05 13:00:04.000,2022-10-05 13:00:23.000
News Pull,2022-10-05 13:00:04.000,2022-10-05 13:00:23.000
NewsDriver.ps1,2022-10-05 14:00:18.000,2022-10-05 14:00:31.000
News Pull,2022-10-05 14:00:19.000,2022-10-05 14:00:31.000
NewsDriver.ps1,2022-10-05 15:00:04.000,2022-10-05 15:00:16.000
